timestamp,txid,source_name,from_wallet_address,to_wallet_address,category,in_currency,in_amount,in_currency_fiat,in_amount_fiat,out_currency,out_amount,out_currency_fiat,out_amount_fiat,fee_currency,fee,fee_currency_fiat,fee_fiat,memo,status
2025-09-22T05:02:36.831936Z,evm_rpc_0x400D4A7c9Df0b8f438e819b91f7D76B4Ed27cE1C_9,Cintara,,,Outbound > Transfer,,,,,,,,,,,,,EVM transaction #9 via JSON-RPC,Completed
2025-09-22T05:02:36.831932Z,evm_rpc_0x400D4A7c9Df0b8f438e819b91f7D76B4Ed27cE1C_8,Cintara,,,Outbound > Transfer,,,,,,,,,,,,,EVM transaction #8 via JSON-RPC,Completed
2025-09-22T05:02:36.831929Z,evm_rpc_0x400D4A7c9Df0b8f438e819b91f7D76B4Ed27cE1C_7,Cintara,,,Outbound > Transfer,,,,,,,,,,,,,EVM transaction #7 via JSON-RPC,Completed
2025-09-22T05:02:36.831925Z,evm_rpc_0x400D4A7c9Df0b8f438e819b91f7D76B4Ed27cE1C_6,Cintara,,,Outbound > Transfer,,,,,,,,,,,,,EVM transaction #6 via JSON-RPC,Completed
2025-09-22T05:02:36.831921Z,evm_rpc_0x400D4A7c9Df0b8f438e819b91f7D76B4Ed27cE1C_5,Cintara,,,Outbound > Transfer,,,,,,,,,,,,,EVM transaction #5 via JSON-RPC,Completed
2025-09-22T05:02:36.831918Z,evm_rpc_0x400D4A7c9Df0b8f438e819b91f7D76B4Ed27cE1C_4,Cintara,,,Outbound > Transfer,,,,,,,,,,,,,EVM transaction #4 via JSON-RPC,Completed
2025-09-22T05:02:36.831916Z,evm_rpc_0x400D4A7c9Df0b8f438e819b91f7D76B4Ed27cE1C_3,Cintara,,,Outbound > Transfer,,,,,,,,,,,,,EVM transaction #3 via JSON-RPC,Completed
2025-09-22T05:02:36.831911Z,evm_rpc_0x400D4A7c9Df0b8f438e819b91f7D76B4Ed27cE1C_2,Cintara,,,Outbound > Transfer,,,,,,,,,,,,,EVM transaction #2 via JSON-RPC,Completed
2025-09-22T05:02:36.831906Z,evm_rpc_0x400D4A7c9Df0b8f438e819b91f7D76B4Ed27cE1C_1,Cintara,,,Outbound > Transfer,,,,,,,,,,,,,EVM transaction #1 via JSON-RPC,Completed
2025-09-22T05:02:36.831891Z,evm_rpc_0x400D4A7c9Df0b8f438e819b91f7D76B4Ed27cE1C_0,Cintara,,,Outbound > Transfer,,,,,,,,,,,,,EVM transaction #0 via JSON-RPC,Completed
